집계일자,출발영업소코드,도착영업소코드,출발영업소명,도착영업소명,도착지방향1종교통량,도착지방향2종교통량,도착지방향3종교통량,도착지방향4종교통량,도착지방향5종교통량,도착지방향6종교통량,도착지방향총교통량,출발지방향1종교통량,출발지방향2종교통량,출발지방향3종교통량,출발지방향4종교통량,출발지방향5종교통량,출발지방향6종교통량,출발지방향총교통량,Unnamed: 19
20220909,101,102,서울,동수원,2705,13,150,3,0,126,2997,3106,17,244,16,4,160,3547,
20220909,101,103,서울,수원신갈,15702,205,852,247,14,636,17656,13709,254,867,229,26,522,15607,
20220909,101,105,서울,기흥,7026,23,148,39,5,257,7498,4818,25,150,71,6,182,5252,
20220909,101,106,서울,오산,3758,135,216,57,1,190,4357,3478,226,262,70,3,183,4222,
20220909,101,107,서울,안성,2879,24,209,15,2,129,3258,3274,18,188,9,5,169,3663,
20220909,101,108,서울,천안,7652,17,257,14,6,212,8158,5283,16,258,11,1,177,5746,
20220909,101,110,서울,목천,859,4,9,4,2,25,903,359,4,7,47,9,16,442,
20220909,101,111,서울,청주,904,5,416,8,2,29,1364,774,3,303,3,2,36,1121,
20220909,101,113,서울,신탄진,986,1,21,2,0,31,1041,788,3,5,0,3,26,825,
20220909,101,115,서울,대전,832,6,155,1,0,28,1022,593,4,159,0,0,26,782,
20220909,101,119,서울,판암,106,0,3,0,0,3,112,112,0,0,0,0,2,114,
20220909,101,123,서울,구미,84,0,86,0,0,5,175,64,0,50,0,0,2,116,
20220909,101,127,서울,서대구,440,0,240,0,0,16,696,188,0,62,0,0,3,253,
20220909,101,128,서울,금왕꽃동네,99,0,6,1,0,3,109,126,0,4,2,0,2,134,
20220909,101,129,서울,북대구,540,0,11,0,0,12,563,282,0,60,0,0,11,353,
20220909,101,136,서울,음성,876,3,3,0,0,13,895,126,3,0,0,2,4,135,
20220909,101,151,서울,북대전,325,1,116,5,0,7,454,532,0,107,0,0,9,648,
20220909,101,152,서울,유성,301,5,63,0,0,3,372,238,1,60,0,0,4,303,
20220909,101,153,서울,서대전,104,0,2,0,0,3,109,98,0,1,0,0,3,102,
20220909,101,158,서울,전주,157,0,240,0,0,1,398,27,0,77,0,0,0,104,
20220909,101,171,서울,마성,2878,25,106,41,2,103,3155,2660,11,99,33,0,97,2900,
20220909,101,172,서울,용인,2307,35,43,13,1,108,2507,2372,54,52,25,3,110,2616,
20220909,101,173,서울,양지,2716,75,92,20,10,88,3001,2891,183,95,27,20,81,3297,
20220909,101,175,서울,덕평,535,28,62,6,1,7,639,401,76,64,10,2,12,565,
20220909,101,176,서울,이천,661,1,67,3,1,15,748,218,8,34,5,1,6,272,
20220909,101,177,서울,여주,260,2,26,1,0,6,295,235,0,33,1,5,4,278,
20220909,101,178,서울,문막,221,0,123,0,0,7,351,110,0,50,0,1,4,165,
20220909,101,193,서울,일죽,234,0,14,1,0,8,257,279,1,5,6,1,10,302,
20220909,101,195,서울,대소,125,2,31,2,2,7,169,98,1,22,2,1,7,131,
20220909,101,197,서울,증평,215,0,5,0,3,8,231,137,0,11,0,1,3,152,
20220909,101,198,서울,서청주,104,0,0,0,0,1,105,100,0,1,0,0,3,104,
20220909,101,199,서울,오창,184,1,0,0,0,5,190,143,0,1,1,0,3,148,
20220909,101,212,서울,북수원,99,0,0,0,0,3,102,105,2,3,0,0,2,112,
20220909,101,225,서울,서진주,409,0,10,0,0,10,429,136,0,34,0,0,1,171,
20220909,101,229,서울,북천안,901,15,83,10,1,31,1041,755,13,12,6,3,31,820,
20220909,101,239,서울,칠원,394,0,212,1,0,12,619,256,1,126,1,0,3,387,
20220909,101,291,서울,사천,295,3,22,0,0,2,322,100,0,13,0,0,1,114,
20220909,101,292,서울,진주,115,0,100,0,0,3,218,64,0,64,0,0,2,130,
20220909,101,516,서울,통영,358,1,37,0,0,14,410,260,2,30,0,0,12,304,
20220909,101,528,서울,기흥동탄,6046,23,384,115,5,200,6773,5625,16,384,111,4,210,6350,
20220909,101,541,서울,송탄,515,2,3,3,0,37,560,561,8,7,2,2,25,605,
20220909,101,542,서울,서안성,590,4,40,45,10,18,707,2129,21,51,121,12,97,2431,
20220909,101,543,서울,남안성,784,28,23,22,4,32,893,1077,47,41,46,9,44,1264,
20220909,101,555,서울,북진천,750,2,2,3,4,13,774,192,7,3,3,0,7,212,
20220909,101,560,서울,감곡,336,2,17,1,0,11,367,204,0,1,0,0,3,208,
20220909,101,561,서울,북충주,209,0,64,0,0,2,275,185,2,54,2,0,6,249,
20220909,101,562,서울,충주,178,0,5,0,0,8,191,154,1,0,0,1,6,162,
20220909,101,566,서울,점촌함창,119,1,19,0,0,4,143,81,0,20,0,0,2,103,
20220909,101,601,서울,남천안,3278,2,112,13,8,75,3488,351,1,6,2,1,9,370,
20220909,101,673,서울,북오산,1541,13,77,12,1,65,1709,1147,7,81,10,1,57,1303,
20220909,101,677,서울,북평택,3780,14,83,16,21,132,4046,1264,7,137,8,11,65,1492,
20220909,101,705,서울,남이천,146,0,2,0,0,1,149,172,6,4,0,0,4,186,
20220909,101,733,서울,옥산,191,1,15,0,0,3,210,160,2,3,0,0,2,167,
20220909,101,741,서울,평택고덕,157,0,9,0,0,8,174,292,1,11,1,0,21,326,
20220909,102,101,동수원,서울,3106,17,244,16,4,160,3547,2705,13,150,3,0,126,2997,
