집계일자,출발영업소코드,도착영업소코드,출발영업소명,도착영업소명,도착지방향1종교통량,도착지방향2종교통량,도착지방향3종교통량,도착지방향4종교통량,도착지방향5종교통량,도착지방향6종교통량,도착지방향총교통량,출발지방향1종교통량,출발지방향2종교통량,출발지방향3종교통량,출발지방향4종교통량,출발지방향5종교통량,출발지방향6종교통량,출발지방향총교통량,Unnamed: 19
20221001,101,102,서울,동수원,4012,41,211,11,10,210,4495,4016,33,310,14,12,204,4589,
20221001,101,103,서울,수원신갈,14521,395,1010,302,79,614,16921,13576,458,1005,271,84,594,15988,
20221001,101,105,서울,기흥,6395,55,150,56,29,238,6923,5360,69,169,87,29,196,5910,
20221001,101,106,서울,오산,4780,194,322,102,42,223,5663,5307,298,338,114,54,267,6378,
20221001,101,107,서울,안성,3187,48,279,25,5,166,3710,3597,38,278,29,26,187,4155,
20221001,101,108,서울,천안,5692,49,363,29,12,222,6367,5230,35,336,20,14,209,5844,
20221001,101,111,서울,청주,807,11,381,15,8,31,1253,895,6,313,15,6,39,1274,
20221001,101,171,서울,마성,3379,56,108,59,5,140,3747,2914,18,91,50,8,137,3218,
20221001,101,172,서울,용인,2149,52,67,20,7,103,2398,2885,84,70,36,19,169,3263,
20221001,101,173,서울,양지,2212,98,106,42,41,68,2567,4342,268,108,91,64,143,5016,
20221001,101,528,서울,기흥동탄,7286,42,476,112,14,332,8262,6588,36,462,106,10,251,7453,
20221001,101,542,서울,서안성,902,16,73,59,16,37,1103,2290,35,65,129,29,128,2676,
20221001,101,543,서울,남안성,1003,47,32,48,32,36,1198,1229,68,46,65,46,55,1509,
20221001,101,673,서울,북오산,1682,31,97,19,11,94,1934,1726,30,94,20,13,104,1987,
20221001,101,677,서울,북평택,3363,32,116,43,60,116,3730,2267,27,148,35,75,117,2669,
20221001,102,101,동수원,서울,4016,33,310,14,12,204,4589,4012,41,211,11,10,210,4495,
20221001,102,212,동수원,북수원,3266,16,148,3,11,189,3633,3990,24,160,10,8,205,4397,
20221001,102,214,동수원,동군포,1441,18,9,6,2,67,1543,1344,17,14,3,4,63,1445,
20221001,102,215,동수원,군포,1158,14,5,1,7,72,1257,1744,10,11,1,10,98,1874,
20221001,102,253,동수원,서서울,5595,51,36,12,9,296,5999,5639,40,33,13,14,295,6034,
20221001,102,254,동수원,군자,4579,36,38,14,19,211,4897,5350,44,51,35,24,234,5738,
20221001,102,255,동수원,서안산,1280,20,10,3,5,65,1383,1406,24,15,13,4,85,1547,
20221001,103,101,수원신갈,서울,13576,458,1005,271,84,594,15988,14521,395,1010,302,79,614,16921,
20221001,103,105,수원신갈,기흥,2074,17,14,6,12,116,2239,2493,19,3,4,12,98,2629,
20221001,103,108,수원신갈,천안,977,8,34,1,2,37,1059,1087,7,31,2,2,57,1186,
20221001,103,253,수원신갈,서서울,2342,87,62,43,13,125,2672,2570,83,46,40,22,147,2908,
20221001,103,254,수원신갈,군자,2079,74,49,51,34,95,2382,2433,69,48,83,59,115,2807,
20221001,103,528,수원신갈,기흥동탄,1467,5,15,1,3,82,1573,1642,10,9,0,2,86,1749,
20221001,105,101,기흥,서울,5360,69,169,87,29,196,5910,6395,55,150,56,29,238,6923,
20221001,105,103,기흥,수원신갈,2493,19,3,4,12,98,2629,2074,17,14,6,12,116,2239,
20221001,106,101,오산,서울,5307,298,338,114,54,267,6378,4780,194,322,102,42,223,5663,
20221001,106,107,오산,안성,1368,17,15,10,3,100,1513,952,23,12,6,10,66,1069,
20221001,107,101,안성,서울,3597,38,278,29,26,187,4155,3187,48,279,25,5,166,3710,
20221001,107,106,안성,오산,952,23,12,6,10,66,1069,1368,17,15,10,3,100,1513,
20221001,107,108,안성,천안,1776,15,27,5,5,110,1938,1830,20,34,8,2,120,2014,
20221001,107,742,안성,남사진위,1046,28,33,21,7,71,1206,1465,19,33,22,19,78,1636,
20221001,108,101,천안,서울,5230,35,336,20,14,209,5844,5692,49,363,29,12,222,6367,
20221001,108,103,천안,수원신갈,1087,7,31,2,2,57,1186,977,8,34,1,2,37,1059,
20221001,108,107,천안,안성,1830,20,34,8,2,120,2014,1776,15,27,5,5,110,1938,
20221001,108,229,천안,북천안,2308,34,65,23,9,80,2519,2282,52,85,39,30,97,2585,
20221001,108,742,천안,남사진위,994,18,20,10,5,39,1086,2121,21,23,20,4,73,2262,
20221001,111,101,청주,서울,895,6,313,15,6,39,1274,807,11,381,15,8,31,1253,
20221001,112,115,남청주,대전,1270,65,57,5,17,77,1491,1153,72,56,7,4,82,1374,
20221001,114,153,남대전,서대전,1650,26,30,26,6,98,1836,1414,27,42,29,10,82,1604,
20221001,115,112,대전,남청주,1153,72,56,7,4,82,1374,1270,65,57,5,17,77,1491,
20221001,115,116,대전,옥천,2217,76,28,11,10,168,2510,2231,39,37,17,13,154,2491,
20221001,116,115,옥천,대전,2231,39,37,17,13,154,2491,2217,76,28,11,10,168,2510,
20221001,119,153,판암,서대전,1906,19,9,6,77,149,2166,1904,17,17,5,64,144,2151,
20221001,123,127,구미,서대구,1985,20,24,14,4,117,2164,2055,22,26,10,1,116,2230,
20221001,123,129,구미,북대구,2062,10,60,4,3,83,2222,2191,12,55,3,2,96,2359,
20221001,125,127,남구미,서대구,1861,21,40,19,6,108,2055,1928,26,50,19,6,117,2146,
20221001,125,129,남구미,북대구,1645,16,21,9,6,97,1794,1888,9,26,5,5,107,2040,
20221001,126,127,왜관,서대구,2213,78,54,21,48,115,2529,2539,88,55,31,37,119,2869,
20221001,126,129,왜관,북대구,2707,62,37,10,60,138,3014,3270,64,41,13,77,144,3609,
20221001,127,123,서대구,구미,2055,22,26,10,1,116,2230,1985,20,24,14,4,117,2164,
20221001,127,125,서대구,남구미,1928,26,50,19,6,117,2146,1861,21,40,19,6,108,2055,
20221001,127,126,서대구,왜관,2539,88,55,31,37,119,2869,2213,78,54,21,48,115,2529,
20221001,127,131,서대구,경산,2188,91,65,51,42,100,2537,1424,80,54,25,34,86,1703,
20221001,127,203,서대구,가산,2132,21,37,15,25,76,2306,2206,33,34,32,15,93,2413,
20221001,127,527,서대구,포항,2262,24,31,15,36,104,2472,1374,22,23,7,34,66,1526,
20221001,127,621,서대구,동대구,1484,41,66,20,31,81,1723,1030,29,18,14,29,49,1169,
20221001,129,123,북대구,구미,2191,12,55,3,2,96,2359,2062,10,60,4,3,83,2222,
20221001,129,125,북대구,남구미,1888,9,26,5,5,107,2040,1645,16,21,9,6,97,1794,
20221001,129,126,북대구,왜관,3270,64,41,13,77,144,3609,2707,62,37,10,60,138,3014,
20221001,129,131,북대구,경산,1860,63,41,28,25,90,2107,2310,101,60,36,44,122,2673,
20221001,129,527,북대구,포항,2578,21,14,17,31,103,2764,3175,34,29,17,52,153,3460,
20221001,131,127,경산,서대구,1424,80,54,25,34,86,1703,2188,91,65,51,42,100,2537,
20221001,131,129,경산,북대구,2310,101,60,36,44,122,2673,1860,63,41,28,25,90,2107,
20221001,131,230,경산,팔공산,1052,34,34,3,5,67,1195,1210,48,28,8,10,61,1365,
20221001,131,621,경산,동대구,1853,39,32,9,40,93,2066,1790,38,30,12,13,88,1971,
20221001,132,621,영천,동대구,1190,7,26,2,36,53,1314,1362,8,16,0,23,51,1460,
20221001,135,140,경주,부산,2479,7,24,8,11,111,2640,2698,10,19,3,12,110,2852,
20221001,135,252,경주,대동,1936,9,61,19,61,87,2173,2416,15,55,15,37,107,2645,
20221001,135,621,경주,동대구,1251,6,45,0,2,39,1343,1234,2,43,0,0,48,1327,
20221001,137,140,통도사,부산,883,31,12,3,16,55,1000,1044,20,12,4,17,56,1153,
20221001,138,140,양산,부산,3906,182,94,29,74,203,4488,4098,209,109,31,83,189,4719,
20221001,138,252,양산,대동,1798,172,77,65,110,79,2301,1862,168,66,41,118,91,2346,
20221001,139,140,서울산,부산,2068,30,21,8,3,78,2208,2332,32,19,3,5,76,2467,
20221001,139,252,서울산,대동,1212,16,19,13,22,49,1331,1411,18,20,12,13,67,1541,
20221001,139,641,서울산,울산,1378,30,43,12,26,95,1584,1305,18,38,10,15,89,1475,
20221001,140,135,부산,경주,2698,10,19,3,12,110,2852,2479,7,24,8,11,111,2640,
20221001,140,137,부산,통도사,1044,20,12,4,17,56,1153,883,31,12,3,16,55,1000,
20221001,140,138,부산,양산,4098,209,109,31,83,189,4719,3906,182,94,29,74,203,4488,
20221001,140,139,부산,서울산,2332,32,19,3,5,76,2467,2068,30,21,8,3,78,2208,
20221001,140,250,부산,남양산,7902,97,178,16,16,540,8749,7744,96,154,12,13,539,8558,
20221001,140,251,부산,물금,831,109,14,20,26,36,1036,1009,92,18,20,25,46,1210,
20221001,140,252,부산,대동,1058,10,17,16,59,52,1212,1029,17,16,17,58,61,1198,
20221001,140,286,부산,통도사휴게소,1209,7,3,0,0,51,1270,1301,3,2,0,0,37,1343,
20221001,140,289,부산,마산,1671,4,11,4,4,53,1747,1111,12,7,4,1,34,1169,
20221001,142,145,군북,산인,4486,29,58,22,40,262,4897,5503,28,66,24,39,282,5942,
20221001,144,145,함안,산인,2015,26,23,11,83,132,2290,1988,28,26,11,76,124,2253,
20221001,145,142,산인,군북,5503,28,66,24,39,282,5942,4486,29,58,22,40,262,4897,
20221001,145,144,산인,함안,1988,28,26,11,76,124,2253,2015,26,23,11,83,132,2290,
20221001,145,272,산인,광양,2198,8,46,6,18,51,2327,1085,8,37,11,6,32,1179,
20221001,145,291,산인,사천,3101,29,48,8,15,113,3314,2318,47,34,9,9,102,2519,
20221001,145,292,산인,진주,1955,19,143,5,13,99,2234,2032,15,141,5,15,116,2324,
20221001,145,293,산인,문산,1616,17,18,9,2,87,1749,1421,22,12,5,1,67,1528,
